timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674828635266,68,/user_info_3,200,OK,HW_1 1-6,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,68,0,33
1674828635297,73,/object_info_3,200,OK,HW_1 1-5,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,73,0,35
1674828635334,71,/object_info_1,200,OK,HW_1 1-6,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,71,0,33
1674828635330,76,/get_method,200,OK,HW_1 1-7,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,76,0,35
1674828635371,70,/object_info_4,200,OK,HW_1 1-5,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,70,0,33
1674828635406,76,/user_info_2,200,OK,HW_1 1-7,text,true,,483,250,2,2,http://162.55.220.72:5005/user_info_2,75,0,34
1674828635406,76,/object_info_2,200,OK,HW_1 1-6,text,true,,468,164,2,2,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,76,0,34
1674828635483,70,/object_info_3,200,OK,HW_1 1-6,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,70,0,32
1674828635482,71,/user_info_3,200,OK,HW_1 1-7,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,71,0,33
1674828635527,72,/get_method,200,OK,HW_1 1-8,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,72,0,36
1674828635554,75,/object_info_4,200,OK,HW_1 1-6,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,75,0,35
1674828635554,75,/object_info_1,200,OK,HW_1 1-7,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,74,0,36
1674828635600,93,/user_info_2,200,OK,HW_1 1-8,text,true,,483,250,2,2,http://162.55.220.72:5005/user_info_2,92,0,38
1674828635668,80,/object_info_2,200,OK,HW_1 1-7,text,true,,468,164,3,3,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,80,0,38
1674828635693,68,/user_info_3,200,OK,HW_1 1-8,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,68,0,34
1674828635730,67,/get_method,200,OK,HW_1 1-9,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,66,0,31
1674828635748,73,/object_info_3,200,OK,HW_1 1-7,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,73,0,35
1674828635761,67,/object_info_1,200,OK,HW_1 1-8,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,66,0,33
1674828635797,73,/user_info_2,200,OK,HW_1 1-9,text,true,,483,250,3,3,http://162.55.220.72:5005/user_info_2,73,0,36
1674828635822,70,/object_info_4,200,OK,HW_1 1-7,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,70,0,33
1674828635828,73,/object_info_2,200,OK,HW_1 1-8,text,true,,468,164,2,2,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,73,0,38
1674828635871,73,/user_info_3,200,OK,HW_1 1-9,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,73,0,37
1674828635902,71,/object_info_3,200,OK,HW_1 1-8,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,71,0,33
1674828635930,68,/get_method,200,OK,HW_1 1-10,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,68,0,33
1674828635945,69,/object_info_1,200,OK,HW_1 1-9,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,68,0,33
1674828635973,70,/object_info_4,200,OK,HW_1 1-8,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,70,0,34
1674828635998,71,/user_info_2,200,OK,HW_1 1-10,text,true,,483,250,2,2,http://162.55.220.72:5005/user_info_2,70,0,34
1674828636015,67,/object_info_2,200,OK,HW_1 1-9,text,true,,468,164,2,2,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,67,0,32
1674828636069,66,/user_info_3,200,OK,HW_1 1-10,text,true,,371,247,3,3,http://162.55.220.72:5005/user_info_3,66,0,31
1674828636083,67,/object_info_3,200,OK,HW_1 1-9,text,true,,525,164,3,3,http://162.55.220.72:5005/object_info_3?name=Alex&age=31&salary=7650,66,0,32
1674828636150,67,/object_info_4,200,OK,HW_1 1-9,text,true,,239,165,3,3,http://162.55.220.72:5005/object_info_4?name=Boris&age=58&salary=9400,67,0,32
1674828636136,70,/object_info_1,200,OK,HW_1 1-10,text,true,,231,163,3,3,http://162.55.220.72:5005/object_info_1?name=Vanya&age=28&weight=82,70,0,33
1674828636128,73,/get_method,200,OK,HW_1 1-11,text,true,,169,150,3,3,http://162.55.220.72:5005/get_method?name=Ostap&age=48,73,0,37
1674828636230,83,/object_info_2,200,OK,HW_1 1-10,text,true,,468,164,2,2,http://162.55.220.72:5005/object_info_2?name=Oleh&age=25&salary=6800,83,0,47
